hour,load_mw,mode,bess_power_mw,grid_power_after_bess_mw,energy_before_mwh,energy_after_mwh,soc_before_percent,soc_after_percent
0,58.0,CHARGE,-10.0,68.0,50.0,59.5,50.0,59.5
1,55.0,CHARGE,-10.0,65.0,59.5,69.0,59.5,69.0
2,53.0,CHARGE,-10.0,63.0,69.0,78.5,69.0,78.5
3,52.0,CHARGE,-10.0,62.0,78.5,88.0,78.5,88.0
4,54.0,CHARGE,-2.1052631578947367,56.10526315789474,88.0,90.0,88.0,90.0
5,58.0,IDLE,-0.0,58.0,90.0,90.0,90.0,90.0
6,65.0,IDLE,-0.0,65.0,90.0,90.0,90.0,90.0
7,72.0,IDLE,0.0,72.0,90.0,90.0,90.0,90.0
8,78.0,IDLE,0.0,78.0,90.0,90.0,90.0,90.0
9,84.0,IDLE,0.0,84.0,90.0,90.0,90.0,90.0
10,90.0,IDLE,0.0,90.0,90.0,90.0,90.0,90.0
11,95.0,IDLE,0.0,95.0,90.0,90.0,90.0,90.0
12,100.0,IDLE,0.0,100.0,90.0,90.0,90.0,90.0
13,106.0,DISCHARGE,6.0,100.0,90.0,83.6842105263158,90.0,83.6842105263158
14,112.0,DISCHARGE,12.0,100.0,83.6842105263158,71.05263157894737,83.6842105263158,71.05263157894737
15,115.0,DISCHARGE,15.0,100.0,71.05263157894737,55.26315789473684,71.05263157894737,55.26315789473685
16,110.0,DISCHARGE,10.0,100.0,55.26315789473684,44.73684210526316,55.26315789473685,44.73684210526316
17,104.0,DISCHARGE,4.0,100.0,44.73684210526316,40.526315789473685,44.73684210526316,40.526315789473685
18,96.0,IDLE,0.0,96.0,40.526315789473685,40.526315789473685,40.526315789473685,40.526315789473685
19,88.0,IDLE,0.0,88.0,40.526315789473685,40.526315789473685,40.526315789473685,40.526315789473685
20,80.0,IDLE,0.0,80.0,40.526315789473685,40.526315789473685,40.526315789473685,40.526315789473685
21,72.0,IDLE,0.0,72.0,40.526315789473685,40.526315789473685,40.526315789473685,40.526315789473685
22,66.0,IDLE,0.0,66.0,40.526315789473685,40.526315789473685,40.526315789473685,40.526315789473685
23,61.0,CHARGE,-10.0,71.0,40.526315789473685,50.026315789473685,40.526315789473685,50.026315789473685
