hour,load_mw,mode,charge_mw,discharge_mw,bess_power_mw,grid_power_mw,energy_mwh,soc_percent
0,58.0,IDLE,0.0,0.0,0.0,58.0,50.0,50.0
1,55.0,IDLE,0.0,0.0,0.0,55.0,50.0,50.0
2,53.0,IDLE,0.0,0.0,0.0,53.0,50.0,50.0
3,52.0,IDLE,0.0,0.0,0.0,52.0,50.0,50.0
4,54.0,IDLE,0.0,0.0,0.0,54.0,50.0,50.0
5,58.0,IDLE,0.0,0.0,0.0,58.0,50.0,50.0
6,65.0,CHARGE,3.605263157894749,0.0,-3.605263157894749,68.60526315789475,53.42500000000001,53.42500000000001
7,72.0,CHARGE,10.0,0.0,-10.0,82.0,62.92500000000001,62.92500000000001
8,78.0,CHARGE,10.0,0.0,-10.0,88.0,72.42500000000001,72.42500000000001
9,84.0,CHARGE,10.0,0.0,-10.0,94.0,81.92500000000001,81.92500000000001
10,90.0,CHARGE,6.75,0.0,-6.75,96.75,88.3375,88.3375
11,95.0,CHARGE,1.75,0.0,-1.75,96.75,90.0,90.0
12,100.0,DISCHARGE,0.0,3.2500000000000027,3.2500000000000027,96.75,86.57894736842105,86.57894736842105
13,106.0,DISCHARGE,0.0,9.25,9.25,96.75,76.84210526315786,76.84210526315786
14,112.0,DISCHARGE,0.0,15.25,15.25,96.75,60.78947368421046,60.78947368421046
15,115.0,DISCHARGE,0.0,18.25,18.25,96.75,41.57894736842104,41.57894736842104
16,110.0,DISCHARGE,0.0,13.25,13.25,96.75,27.63157894736842,27.631578947368425
17,104.0,DISCHARGE,0.0,7.25,7.25,96.75,20.0,20.0
18,96.0,IDLE,0.0,0.0,0.0,96.0,20.0,20.0
19,88.0,IDLE,0.0,0.0,0.0,88.0,20.0,20.0
20,80.0,CHARGE,1.5789473684210527,0.0,-1.5789473684210527,81.57894736842105,21.5,21.5
21,72.0,CHARGE,10.0,0.0,-10.0,82.0,31.0,31.0
22,66.0,CHARGE,10.0,0.0,-10.0,76.0,40.5,40.5
23,61.0,CHARGE,10.0,0.0,-10.0,71.0,50.0,50.0
